MatchId,SummonerId,SummonerLevel,QueuesRanks,ChampionName,Mastery,LastTimeChampionPlayed,Summoner1,Summoner2,Role,Team
EUW1_6385876151,IG6naJJ6HpQQtSRKTdK7VXfHlEui6yRcWHq9MfOWb8HBNbs,318,"[{'queueType': 'RANKED_SOLO_5x5', 'tier': 'SILVER', 'rank': 'II'}, {'queueType': 'RANKED_FLEX_SR', 'tier': 'GOLD', 'rank': 'II'}]",Kayle,246842,1684867036000,12,4,TOP,Red
EUW1_6385876151,btUKh6xO5gsfNmZkOBZlIBa0C_Xv2aP_DjjxLLkAGlmTW2w,191,"[{'queueType': 'RANKED_SOLO_5x5', 'tier': 'PLATINUM', 'rank': 'IV'}]",Shaco,824709,1685741899000,11,14,JUNGLE,Red
EUW1_6385876151,oa-wGbOskOgFUCy0GrqMccH0sNDTw8ryF71z0CKkTkEoSLpKH1kCwl36Vw,34,"[{'queueType': 'RANKED_SOLO_5x5', 'tier': 'SILVER', 'rank': 'III'}]",Zeri,13730,1683317556000,6,21,MIDDLE,Red
EUW1_6385876151,FitkgV9CRtPVNUB2Noc-GzRcqXZW8-yFH9Ds99ZqjH13zBs,292,"[{'queueType': 'RANKED_FLEX_SR', 'tier': 'GOLD', 'rank': 'III'}, {'queueType': 'RANKED_SOLO_5x5', 'tier': 'GOLD', 'rank': 'III'}]",Caitlyn,139595,1684759058000,7,4,BOTTOM,Red
EUW1_6385876151,xe0AtoC-RFI53aGZbr_Pe7zyOfztLdmgoCqYyubUFSze4Gw,204,"[{'queueType': 'RANKED_FLEX_SR', 'tier': 'SILVER', 'rank': 'I'}, {'queueType': 'RANKED_SOLO_5x5', 'tier': 'SILVER', 'rank': 'IV'}]",Rell,14636,1685324241000,4,14,UTILITY,Red
EUW1_6385876151,Zk6koFL_E3En9PJdgWJpnn3dUsNK_BND8xs3RnhAGH5JqbY,434,"[{'queueType': 'RANKED_SOLO_5x5', 'tier': 'SILVER', 'rank': 'I'}, {'queueType': 'RANKED_FLEX_SR', 'tier': 'SILVER', 'rank': 'I'}]",Trundle,33034,1683055369000,12,4,TOP,Blue
EUW1_6385876151,CpudqwSRxgholWB4md_bKRzWryxctSXSaErmuocCiQZ4RAA,355,[],FiddleSticks,654046,1685734410000,11,4,JUNGLE,Blue
EUW1_6385876151,CyL1MjY834I09IdMtpAwb7-zsDA_46vZD_l5xcJPR8_a74I,269,[],Viktor,27997,1683405283000,12,4,MIDDLE,Blue
EUW1_6385876151,Q_mm2vTfvYGbHdrxAAE9RhbMKVI52knTyX6vAOPuaPR8m6M,358,"[{'queueType': 'RANKED_FLEX_SR', 'tier': 'GOLD', 'rank': 'III'}, {'queueType': 'RANKED_SOLO_5x5', 'tier': 'GOLD', 'rank': 'III'}]",Ezreal,2485,1683055369000,7,4,BOTTOM,Blue
EUW1_6385876151,T5pUJPuoOaKK6jpkiwWwknrxjchCueibPh24-hYWQOLa2C8,212,"[{'queueType': 'RANKED_SOLO_5x5', 'tier': 'GOLD', 'rank': 'IV'}]",Senna,106081,1684510757000,3,4,UTILITY,Blue
EUW1_6385829046,UDsZVBVlchxOK8YXby2--u8Ub5KklvEVSiWhyDI3eDey1_Q,192,"[{'queueType': 'RANKED_SOLO_5x5', 'tier': 'GOLD', 'rank': 'IV'}]",Shen,96545,1685043705000,4,12,TOP,Red
EUW1_6385829046,jj-e6eoZmIDzpPze4K8eWhnOEOMX6o1YLAUdSoHbvJ-Hq5z8F7sMVwP_Xw,249,[],Graves,64866,1685794088630,4,11,JUNGLE,Red
EUW1_6385829046,PuFPlOlc7CILc11T87t60TBlKfnI2_4mCT7PF6nZn1CoJjwt,326,"[{'queueType': 'RANKED_SOLO_5x5', 'tier': 'SILVER', 'rank': 'IV'}]",Fizz,18459,1685213752000,4,14,MIDDLE,Red
EUW1_6385829046,CFUjCPDQnlWUQFjDkzYbMoHQBS3gbmGyfKIUi6O93teRn_Y,487,"[{'queueType': 'RANKED_FLEX_SR', 'tier': 'SILVER', 'rank': 'II'}, {'queueType': 'RANKED_SOLO_5x5', 'tier': 'PLATINUM', 'rank': 'IV'}]",Viego,19792,1683052594000,4,7,UTILITY,Red
